InteractionID	REL_ENT	REG_DIR	INDIRECT	PASSIVE	NEGATED	SENTENCE
miRNA-corp.d1.s1.p1	MIR_GENE	DOWN	FALSE	FALSE	FALSE	A direct correlation was found between the downregulation of <e1>miR-200a</e1> and the upregulation of <e2>beta-catenin</e2> in human meningioma samples.
miRNA-corp.d1.s2.p3	NA	NA	FALSE	FALSE	FALSE	Thus, <e1>miR-200a</e1> appears to act as a multifunctional tumor suppressor miRNA in meningiomas through effects on the <e2>E-cadherin</e2> and Wnt/beta-catenin signaling pathways.
miRNA-corp.d1.s2.p5	NA	NA	FALSE	FALSE	FALSE	Thus, <e1>miR-200a</e1> appears to act as a multifunctional tumor suppressor miRNA in meningiomas through effects on the E-cadherin and Wnt/<e2>beta-catenin</e2> signaling pathways.
miRNA-corp.d1.s3.p0	MIR_GENE	TARGET	FALSE	FALSE	FALSE	<e1>miR-200a</e1> was found to directly target <e2>beta-catenin</e2> mRNA, thereby inhibiting its translation and blocking Wnt/beta-catenin signaling, which is frequently involved in cancer.
miRNA-corp.d1.s3.p1	NA	NA	FALSE	FALSE	FALSE	<e1>miR-200a</e1> was found to directly target beta-catenin mRNA, thereby inhibiting its translation and blocking Wnt/<e2>beta-catenin</e2> signaling, which is frequently involved in cancer.
miRNA-corp.d1.s4.p0	MIR_GENE	DOWN	FALSE	FALSE	FALSE	Downregulation of <e1>miR-200a</e1> in meningiomas and arachnoidal cells resulted in increased expression of beta-catenin and <e2>cyclin D1</e2> involved in cell proliferation.
miRNA-corp.d1.s4.p1	MIR_GENE	DOWN	FALSE	FALSE	FALSE	Downregulation of <e1>miR-200a</e1> in meningiomas and arachnoidal cells resulted in increased expression of <e2>beta-catenin</e2> and cyclin D1 involved in cell proliferation.
miRNA-corp.d1.s5.p0	MIR_GENE	UP	FALSE	FALSE	FALSE	Upregulation of <e1>miR-200a</e1> decreased the expression of transcription factors ZEB1 and SIP1, with consequent increased expression of <e2>E-cadherin</e2>, an adhesion protein associated with cell differentiation.
miRNA-corp.d1.s5.p1	MIR_GENE	DOWN	FALSE	FALSE	FALSE	Upregulation of <e1>miR-200a</e1> decreased the expression of transcription factors <e2>ZEB1</e2> and SIP1, with consequent increased expression of E-cadherin, an adhesion protein associated with cell differentiation.
miRNA-corp.d1.s8.p0	MIR_GENE	DOWN	FALSE	FALSE	FALSE	Downregulated <e1>microRNA-200a</e1> in meningiomas promotes tumor growth by reducing <e2>E-cadherin</e2> and activating the Wnt/beta-catenin signaling pathway.
miRNA-corp.d1.s8.p2	NA	NA	FALSE	FALSE	FALSE	Downregulated <e1>microRNA-200a</e1> in meningiomas promotes tumor growth by reducing E-cadherin and activating the Wnt/<e2>beta-catenin</e2> signaling pathway.
miRNA-corp.d5.s2.p0	NA	NA	FALSE	FALSE	FALSE	Strikingly, cells with high levels of <e2>PKM2</e2> expressed lower levels of miR-326, suggestive of endogenous regulation of PKM2 by <e1>miR-326</e1>.
miRNA-corp.d5.s2.p1	MIR_GENE	NEU	TRUE	FALSE	FALSE	Strikingly, cells with high levels of PKM2 expressed lower levels of miR-326, suggestive of endogenous regulation of <e2>PKM2</e2> by <e1>miR-326</e1>.
miRNA-corp.d5.s2.p2	MIR_GENE	DOWN	FALSE	FALSE	FALSE	Strikingly, cells with high levels of <e2>PKM2</e2> expressed lower levels of <e1>miR-326</e1>, suggestive of endogenous regulation of PKM2 by miR-326.
miRNA-corp.d5.s2.p3	NA	NA	FALSE	FALSE	FALSE	Strikingly, cells with high levels of PKM2 expressed lower levels of <e1>miR-326</e1>, suggestive of endogenous regulation of <e2>PKM2</e2> by miR-326.
miRNA-corp.d5.s4.p0	MIR_GENE	TARGET	FALSE	FALSE	FALSE	<e2>Pyruvate kinase M2</e2> is a target of the tumor-suppressive <e1>microRNA-326</e1> and regulates the survival of glioma cells.
miRNA-corp.d5.s8.p0	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Computational target gene prediction revealed <e2>pyruvate kinase type M2</e2> (PKM2) as another target of <e1>miRNA-326</e1>.
miRNA-corp.d5.s8.p1	MIR_GENE	TARGET	FALSE	FALSE	FALSE	Computational target gene prediction revealed pyruvate kinase type M2 (<e2>PKM2</e2>) as another target of <e1>miRNA-326</e1>.
miRNA-corp.d5.s10.p0	NA	NA	FALSE	FALSE	FALSE	To investigate whether it might be a functionally important target of <e1>miR-326</e1>, we used RNA interference to knockdown <e2>PKM2</e2> expression in glioma cells.
miRNA-corp.d19.s1.p0	NA	NA	FALSE	FALSE	FALSE	Ectopic <e1>miR-17/92</e1> expression in CGNPs synergized with exogenous Shh to increase proliferation and also enabled them to proliferate in the absence of <e2>Shh</e2>.
miRNA-corp.d19.s1.p1	MIR_GENE	NEU	FALSE	FALSE	FALSE	Ectopic <e1>miR-17/92</e1> expression in CGNPs synergized with exogenous <e2>Shh</e2> to increase proliferation and also enabled them to proliferate in the absence of Shh.
miRNA-corp.d19.s2.p0	GENE_MIR	UP	FALSE	FALSE	FALSE	In CGNPs, the Shh effector <e2>N-myc</e2>, but not Gli1, induced <e1>miR-17/92</e1> expression.
miRNA-corp.d19.s2.p1	NA	NA	FALSE	FALSE	FALSE	In CGNPs, the Shh effector N-myc, but not <e2>Gli1</e2>, induced <e1>miR-17/92</e1> expression.
miRNA-corp.d19.s2.p2	NA	NA	FALSE	FALSE	FALSE	In CGNPs, the <e2>Shh</e2> effector N-myc, but not Gli1, induced <e1>miR-17/92</e1> expression.
miRNA-corp.d19.s3.p0	NA	NA	FALSE	FALSE	FALSE	Consistent with its regulation by Shh, we observed that <e2>Shh</e2> treatment of primary cerebellar granule neuron precursors (CGNP), proposed cells of origin for the Shh-associated medulloblastomas, resulted in increased <e1>miR-17/92</e1> expression.
miRNA-corp.d19.s3.p2	NA	NA	FALSE	FALSE	FALSE	Consistent with its regulation by Shh, we observed that Shh treatment of primary cerebellar granule neuron precursors (CGNP), proposed cells of origin for the <e2>Shh</e2>-associated medulloblastomas, resulted in increased <e1>miR-17/92</e1> expression.
